condition,genes,base_mean,log2fold_change,lfc_se,stat,pvalue,padj,direction,...10,gse_id,samples_bygse,vaccine,samples_byvaccine,samples,day,week,dose,infection,type,regimen,disease_vac,severity,variant,prior_infection,previous_vaccination
"BNT (V2, D1)",A1BG-AS1,75.5456663438154,-0.21475714900511,0.065641910353093,-3.27164684650271,0.00106923044818109,0.00476471396293389,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",GPA33,84.4407776613536,-0.508071238858696,0.104745802821376,-4.85051644241168,1.2314042476548e-6,1.23604698177573e-5,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",SNAP29,811.286206559737,0.136617868934413,0.0365264020189347,3.74024982979687,1.8383743959509e-4,0.00103826887443743,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",CHEK1,47.7198411283823,0.312361573566885,0.0751129467846887,4.15855837026697,3.2026240054423e-5,2.2376343981875e-4,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",WIZ,428.180682930635,-0.0792035839063266,0.028630808110043,-2.76637612190009,0.00566831160573214,0.0196728304570021,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",POLD2,170.21113138003,-0.322305001693039,0.056374588031302,-5.71720367187569,1.08291291975217e-8,1.68097452275564e-7,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",SNAP47,140.89589296629,-0.250376238371361,0.0487292634636241,-5.13810840909311,2.77517777226561e-7,3.27359455300327e-6,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",A3GALT2,21.6450075143466,0.372038373995837,0.151082524082443,2.46248450146903,0.0137978136061691,0.0414586273394814,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",ATP11C,483.08546355965,0.159361070843613,0.0329296449474339,4.83944090797222,1.3020489737852e-6,1.30182154165004e-5,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",KIR3DL1,51.107407803431,-0.599181018180473,0.188730050372589,-3.17480452634636,0.00149937469126965,0.00637032527951568,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",AAAS,202.693286664703,-0.155671953493438,0.0328688371047298,-4.73615640849785,2.17809515755624e-6,2.06756495553099e-5,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",GPAM,77.4474847394785,-0.195165481099224,0.0590915095479558,-3.30276688803892,9.5735937239041e-4,0.00434311475931266,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",TCTN2,56.7745637303308,-0.199016860035883,0.0665594175932668,-2.99006312302853,0.00278919801141049,0.0108700387522136,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",WNK2,11.71165100325,-0.537526434013689,0.168163231545265,-3.19645637797464,0.00139126861857734,0.0059719696833421,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",ATP13A1,581.21381795542,0.110547815780988,0.0318469620222211,3.47122013408544,5.1809908069363e-4,0.00255544949408904,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",WNK3,3.78473235693885,-0.582119240799851,0.226633115777273,-2.56855331491775,0.010212400139702,0.032282633383766,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",AACS,133.529189302681,-0.214681457214411,0.0518051136311149,-4.14402058343272,3.41269092541015e-5,2.3704096366358e-4,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",GPAT4,567.948613224478,-0.135264409155856,0.0288827796994827,-4.68321991730867,2.82403242483474e-6,2.60616873837228e-5,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",GPATCH11,270.250029803353,-0.12449800025523,0.0521934184484013,-2.38531991113611,0.0170642749458445,0.0494574332534953,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",AAGAB,375.122504711235,0.172303689360433,0.0265465354696635,6.49062811067515,8.54792429524124e-11,1.9930068703039e-9,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",CHI3L1,1322.81867855438,-0.66657214036145,0.179647972663049,-3.71043508301475,2.0690334948942e-4,0.00114786990305544,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",TRBV2,42.1079712894295,-0.324003435096962,0.122106321486577,-2.6534534097203,0.00796727686096488,0.0262133598230567,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",AAK1,2454.43405776878,-0.17380319248879,0.0441418775011322,-3.93737653058213,8.23772937590039e-5,5.1646496382457e-4,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",GPATCH2,195.063893853322,0.12822292162837,0.0450091523450195,2.84881885011902,0.00438818579850355,0.015950452777034,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",DESI1,530.148056692773,0.237849264888206,0.0470166865950958,5.05882660206463,4.21844238715991e-7,4.76494607283736e-6,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",FAM182B,5.55703208543341,-0.587281861134255,0.206197689986424,-2.84814956546274,0.00439742529233424,0.0159764280376523,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",WNT10B,26.211974614548,-0.3856977453495,0.110620151475198,-3.48668610742208,4.8904498340941e-4,0.00242888805642991,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",SNCA,49955.3295073464,0.289148966137923,0.10915078630218,2.64907817830487,0.00807116585804905,0.0265170632064702,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",SNCA,49955.3295073464,0.289148966137923,0.10915078630218,2.64907817830487,0.00807116585804905,0.0265170632064702,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",AAMP,435.63354185734,0.185485873120028,0.0430896279073459,4.30465246808052,1.67248075536017e-5,1.2605763019346e-4,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
