Cond1,Cond2,Shared,Total_Genes_Cond1,Percentage_Shared_Cond1,pvalue,-log(p)
"BBIBP (V3, D14)","BBIBP (V3, D28)",6,44,13.64,3.3463273505943693e-7,6.475431576941193
"BBIBP (V3, D14)","BNT (V2, D1)",2,44,4.55,4.871472763469384e-62,61.31233972125909
"BBIBP (V3, D14)","BNT (V3, D1)",5,44,11.36,7.58826242086617e-55,54.11985765854729
"BBIBP (V3, D14)",BNT-I (D1),4,44,9.09,1.1306736680337824e-69,68.94666272188466
"BBIBP (V3, D14)","BNT-I (D10, mild)",4,44,9.09,1.0913789651744148e-93,92.96202442089987
"BBIBP (V3, D14)","BNT-I (D10, severe)",10,44,22.73,1.4572436198939789e-77,76.83646783743305
"BBIBP (V3, D14)",BNT-I (D3),6,44,13.64,7.068505210864516e-57,56.15067241750576
"BBIBP (V3, D14)","BNT-MO (V3, D1)",6,44,13.64,1.581648610404513e-62,61.80088999587824
"BBIBP (V3, D14)","ChAd (V1, D3)",2,44,4.55,1.494564996122796e-65,64.82548519347603
"BBIBP (V3, D14)","ChAd (V2, D1)",3,44,6.82,4.746962717310238e-65,64.32358417922119
"BBIBP (V3, D14)","ChAd-BNT (V2, D3)",2,44,4.55,2.875053351138087e-71,70.54135409188221
"BBIBP (V3, D14)","ChAd-BNT (V2, D7)",2,44,4.55,1.7905542685162597e-68,67.74701251175904
"BBIBP (V3, D14)","ChAd-BNT (V3, D1)",6,44,13.64,5.487971531274279e-64,63.26058815018807
"BBIBP (V3, D14)","I (D10, moderate)",6,44,13.64,3.864495697870835e-82,81.41290717184181
"BBIBP (V3, D14)","I (D10, severe)",7,44,15.91,9.784504525828866e-84,83.0094611615386
"BBIBP (V3, D14)","I (D26, severe)",5,44,11.36,7.402534128134758e-89,88.1306195816926
"BBIBP (V3, D14)","I (D51, severe)",7,44,15.91,1.607723767334365e-74,73.79378856791834
"BBIBP (V3, D14)","ZF2001 (V3, D07)",15,44,34.09,1.0653651003859574e-56,55.97250153409338
"BBIBP (V3, D14)","ZF2001 (V3, D14)",13,44,29.55,7.445690546038154e-32,31.128095017666485
"BBIBP (V3, D28)","BBIBP (V3, D14)",6,44,13.64,3.3463273505943693e-7,6.475431576941193
"BBIBP (V3, D28)",BNT-I (D1),2,16,12.5,2.4736032214056324e-30,29.606669962174053
"BBIBP (V3, D28)","BNT-I (D10, mild)",2,16,12.5,8.610766540795313e-39,38.06495818540821
"BBIBP (V3, D28)","BNT-I (D10, severe)",4,16,25,8.719860475885948e-33,32.059490464039634
"BBIBP (V3, D28)",BNT-I (D3),3,16,18.75,6.23969498552856e-25,24.204836639378385
"BBIBP (V3, D28)","I (D10, moderate)",3,16,18.75,1.1792584550882764e-33,32.92839100125142
"BBIBP (V3, D28)","I (D10, severe)",4,16,25,3.835545335091344e-32,31.416172879646272
