condition,process,set_size,enrichment_score,nes,pvalue,p_adjust,qvalue,rank,leading_edge,core_enrichment,gsea_enrichment
"BNT (V2, D1)",GENERAL,39,0.558748886157073,2.6858487099120074,1.6173403083556604e-7,2.5877444933690567e-6,1.361970785983714e-6,163,"tags=72%, list=30%, signal=54%",IDO1/ACOD1/CCL8/GBP6/FCGR1A/GBP1/CXCL9/CCL2/GBP7/IFI6/IFIT1/IFITM3/MX1/IL31RA/IFIT2/IDO2/IFI35/IL27/DDX60/OAS2/TRIM22/RIGI/CFB/IFI27/PARP9/PML/TNFSF10/GBP2,ImmuneGO General
"BNT (V2, D1)",ANTIVIRAL & IFN,18,0.6559491958658281,2.4630725194583216,9.412113312986375e-6,7.5296906503891e-5,3.9629950791521574e-5,163,"tags=89%, list=30%, signal=64%",ACOD1/CCL8/GBP6/GBP1/CCL2/GBP7/IFIT1/IFITM3/MX1/IFIT2/OAS2/STAT1/RIGI/STAT2/IFI27/GBP2,ImmuneGO General
"BNT (V2, D1)",NEUTROPHIL,3,0.9291044776119403,1.8388984334989062,0.00103773956723906,0.005534611025274986,0.002912953171197361,41,"tags=100%, list=8%, signal=93%",CCL8/CXCL9/CCL2,ImmuneGO General
"BNT (V2, D1)",HUMORAL ADAPTIVE IMMUNE SYSTEM,4,0.8134370562868769,1.7879615485922955,0.004424568995260071,0.017698275981040283,0.009314882095284359,41,"tags=75%, list=8%, signal=70%",CCL8/CXCL9/CCL2,ImmuneGO General
"BNT (V2, D1)",ANTIMICROBIAL,2,0.9292364990689013,1.5968277394146264,0.013247084739336785,0.031240281710197427,0.016442253531682858,40,"tags=100%, list=7%, signal=93%",CCL8/CXCL9,ImmuneGO General
"BNT (V2, D1)",EOSINOPHIL,2,0.9273743016759777,1.5936276838246173,0.013667623248211375,0.031240281710197427,0.016442253531682858,41,"tags=100%, list=8%, signal=93%",CCL8/CCL2,ImmuneGO General
"BNT (V2, D1)",MONOCYTE,2,0.9273743016759777,1.5936276838246173,0.013667623248211375,0.031240281710197427,0.016442253531682858,41,"tags=100%, list=8%, signal=93%",CCL8/CCL2,ImmuneGO General
"BNT (V2, D1)",ARPP,8,0.6119908480594006,1.7430429476740725,0.01808578798856421,0.03617157597712842,0.019037671566909692,135,"tags=75%, list=25%, signal=57%",BATF2/CCL8/CXCL17/CCL2/IFI35/RIGI,ImmuneGO General
"BNT (V2, D1)",DENDRITIC CELL,1,0.9814126394052045,1.3126870367244228,0.052790926053568533,0.09385053520634405,0.04939501852965477,11,"tags=100%, list=2%, signal=98%",BATF2,ImmuneGO General
"BNT (V2, D1)",MACROPHAGE,4,0.6670556017226144,1.466210270893424,0.07256637168141593,0.1161061946902655,0.06110852352119235,100,"tags=75%, list=19%, signal=62%",CXCL17/CCL2/IFI35,ImmuneGO General
"BNT (V2, D1)",CELLULAR ADAPTIVE IMMUNE SYSTEM,6,0.5186953190725497,1.3030016237419286,0.17217391304347826,0.22956521739130434,0.12082379862700228,41,"tags=33%, list=8%, signal=31%",IDO1/CCL2,ImmuneGO General
"BNT (V2, D1)",T CELL,6,0.5186953190725497,1.3030016237419286,0.17217391304347826,0.22956521739130434,0.12082379862700228,41,"tags=33%, list=8%, signal=31%",IDO1/CCL2,ImmuneGO General
"BNT (V2, D1)",Classical monocyte,9,0.8660377358490566,2.580679925203805,8.985699279184215e-8,2.336281812587896e-6,1.7025535476349039e-6,80,"tags=100%, list=15%, signal=87%",IFI44L/ISG15/IFIT3/IFI6/EPSTI1/IFITM3/MX1/IFIT2/XAF1,CellMarker immune
