condition,genes,base_mean,log2fold_change,lfc_se,stat,pvalue,padj,direction,...10,gse_id,samples_bygse,vaccine,samples_byvaccine,samples,day,week,dose,infection,type,regimen,disease_vac,severity,variant,prior_infection,previous_vaccination
"BNT (V1, D6)",IFI27,347.851002294087,2.31769988793986,0.253897044011782,9.12850284240531,6.94530965654334e-20,1.1675760063615e-15,UP,21,GSE199750,305,BNT,396,64,6,1,1,0,RNA,HO,V,H,None,No,No
"BNT (V1, D6)",IFI27,347.851002294087,2.31769988793986,0.253897044011782,9.12850284240531,6.94530965654334e-20,1.1675760063615e-15,UP,21,GSE199750,305,BNT,396,64,6,1,1,0,RNA,HO,V,H,None,No,No
"BNT (V1, D6)",H3C7,71.6079827841592,0.514843812357708,0.118700408972947,4.33733815083185,1.44218658828786e-5,0.023774169525836,NEUTRAL,21,GSE199750,305,BNT,396,64,6,1,1,0,RNA,HO,V,H,None,No,No
"BNT (V1, D6)",TK1,26.5166257797161,0.579917502603704,0.122513179486756,4.73351116209008,2.20668822192025e-6,0.00927415892467532,NEUTRAL,21,GSE199750,305,BNT,396,64,6,1,1,0,RNA,HO,V,H,None,No,No
"BNT (V1, D6)",CDT1,16.5310365362408,0.619158389058852,0.141089499666054,4.38840870882908,1.14183045389321e-5,0.0213281241782208,NEUTRAL,21,GSE199750,305,BNT,396,64,6,1,1,0,RNA,HO,V,H,None,No,No
"BNT (V1, D6)",H3C8,57.6730865290335,0.752945820077755,0.146285944084568,5.1470824814343,2.64569015001279e-7,0.00222383485559325,NEUTRAL,21,GSE199750,305,BNT,396,64,6,1,1,0,RNA,HO,V,H,None,No,No
"BNT (V1, D6)",IFI27,347.851002294087,2.31769988793986,0.253897044011782,9.12850284240531,6.94530965654334e-20,1.1675760063615e-15,UP,21,GSE199750,305,BNT,396,64,6,1,1,0,RNA,HO,V,H,None,No,No
"BNT (V1, D6)",RRM2,89.0689930276761,0.517638031774057,0.117534276369396,4.40414530776693,1.06201743900252e-5,0.0213281241782208,NEUTRAL,21,GSE199750,305,BNT,396,64,6,1,1,0,RNA,HO,V,H,None,No,No
"BNT (V1, D6)",RNU1-4,127.648636449025,-1.22516723165714,0.266774648677516,-4.59251745895149,4.37930860362348e-6,0.0122700928225857,DOWN,21,GSE199750,305,BNT,396,64,6,1,1,0,RNA,HO,V,H,None,No,No
"BNT (V1, D6)",H3C12,72.0074681537625,0.575476487705398,0.120438765212937,4.7781666200907,1.76900766036407e-6,0.00927415892467532,NEUTRAL,21,GSE199750,305,BNT,396,64,6,1,1,0,RNA,HO,V,H,None,No,No
"BNT (V1, D6)",TYMS,35.2971603951349,0.558664498006504,0.130360826109205,4.28552437630691,1.82308655701966e-5,0.0255399234250479,NEUTRAL,21,GSE199750,305,BNT,396,64,6,1,1,0,RNA,HO,V,H,None,No,No
"BNT (V1, D6)",H3C3,127.812256336035,0.557601578627811,0.119940547776472,4.64898309174798,3.33575553495685e-6,0.0112154772596319,NEUTRAL,21,GSE199750,305,BNT,396,64,6,1,1,0,RNA,HO,V,H,None,No,No
"BNT (V1, D6)",IGLV3-10,15.6428474429098,1.32852748646596,0.307482447234497,4.32066122282674,1.55562348928794e-5,0.023774169525836,UP,21,GSE199750,305,BNT,396,64,6,1,1,0,RNA,HO,V,H,None,No,No
"BNT (V1, D6)",IGLV3-10,15.6428474429098,1.32852748646596,0.307482447234497,4.32066122282674,1.55562348928794e-5,0.023774169525836,UP,21,GSE199750,305,BNT,396,64,6,1,1,0,RNA,HO,V,H,None,No,No
"BNT (V1, D6)",IGLV3-10,15.6428474429098,1.32852748646596,0.307482447234497,4.32066122282674,1.55562348928794e-5,0.023774169525836,UP,21,GSE199750,305,BNT,396,64,6,1,1,0,RNA,HO,V,H,None,No,No
"BNT (V1, D6)",IGLV3-10,15.6428474429098,1.32852748646596,0.307482447234497,4.32066122282674,1.55562348928794e-5,0.023774169525836,UP,21,GSE199750,305,BNT,396,64,6,1,1,0,RNA,HO,V,H,None,No,No
"BNT (V1, D6)",H3C2,118.895482266899,0.550816328153877,0.12266858929264,4.49028012248387,7.11295673426682e-6,0.0170822736656799,NEUTRAL,21,GSE199750,305,BNT,396,64,6,1,1,0,RNA,HO,V,H,None,No,No
"BNT (V1, D6)",IFI27,347.851002294087,2.31769988793986,0.253897044011782,9.12850284240531,6.94530965654334e-20,1.1675760063615e-15,UP,21,GSE199750,305,BNT,396,64,6,1,1,0,RNA,HO,V,H,None,No,No
"BNT (V2, D1)",A1BG-AS1,75.5456663438154,-0.21475714900511,0.065641910353093,-3.27164684650271,0.00106923044818109,0.00476471396293389,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",GPA33,84.4407776613536,-0.508071238858696,0.104745802821376,-4.85051644241168,1.2314042476548e-6,1.23604698177573e-5,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",SNAP29,811.286206559737,0.136617868934413,0.0365264020189347,3.74024982979687,1.8383743959509e-4,0.00103826887443743,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",CHEK1,47.7198411283823,0.312361573566885,0.0751129467846887,4.15855837026697,3.2026240054423e-5,2.2376343981875e-4,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",WIZ,428.180682930635,-0.0792035839063266,0.028630808110043,-2.76637612190009,0.00566831160573214,0.0196728304570021,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",POLD2,170.21113138003,-0.322305001693039,0.056374588031302,-5.71720367187569,1.08291291975217e-8,1.68097452275564e-7,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",SNAP47,140.89589296629,-0.250376238371361,0.0487292634636241,-5.13810840909311,2.77517777226561e-7,3.27359455300327e-6,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",A3GALT2,21.6450075143466,0.372038373995837,0.151082524082443,2.46248450146903,0.0137978136061691,0.0414586273394814,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",ATP11C,483.08546355965,0.159361070843613,0.0329296449474339,4.83944090797222,1.3020489737852e-6,1.30182154165004e-5,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",KIR3DL1,51.107407803431,-0.599181018180473,0.188730050372589,-3.17480452634636,0.00149937469126965,0.00637032527951568,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",AAAS,202.693286664703,-0.155671953493438,0.0328688371047298,-4.73615640849785,2.17809515755624e-6,2.06756495553099e-5,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",GPAM,77.4474847394785,-0.195165481099224,0.0590915095479558,-3.30276688803892,9.5735937239041e-4,0.00434311475931266,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",TCTN2,56.7745637303308,-0.199016860035883,0.0665594175932668,-2.99006312302853,0.00278919801141049,0.0108700387522136,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",WNK2,11.71165100325,-0.537526434013689,0.168163231545265,-3.19645637797464,0.00139126861857734,0.0059719696833421,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",ATP13A1,581.21381795542,0.110547815780988,0.0318469620222211,3.47122013408544,5.1809908069363e-4,0.00255544949408904,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",WNK3,3.78473235693885,-0.582119240799851,0.226633115777273,-2.56855331491775,0.010212400139702,0.032282633383766,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",AACS,133.529189302681,-0.214681457214411,0.0518051136311149,-4.14402058343272,3.41269092541015e-5,2.3704096366358e-4,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",GPAT4,567.948613224478,-0.135264409155856,0.0288827796994827,-4.68321991730867,2.82403242483474e-6,2.60616873837228e-5,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",GPATCH11,270.250029803353,-0.12449800025523,0.0521934184484013,-2.38531991113611,0.0170642749458445,0.0494574332534953,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",AAGAB,375.122504711235,0.172303689360433,0.0265465354696635,6.49062811067515,8.54792429524124e-11,1.9930068703039e-9,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",CHI3L1,1322.81867855438,-0.66657214036145,0.179647972663049,-3.71043508301475,2.0690334948942e-4,0.00114786990305544,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",TRBV2,42.1079712894295,-0.324003435096962,0.122106321486577,-2.6534534097203,0.00796727686096488,0.0262133598230567,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",AAK1,2454.43405776878,-0.17380319248879,0.0441418775011322,-3.93737653058213,8.23772937590039e-5,5.1646496382457e-4,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",GPATCH2,195.063893853322,0.12822292162837,0.0450091523450195,2.84881885011902,0.00438818579850355,0.015950452777034,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",DESI1,530.148056692773,0.237849264888206,0.0470166865950958,5.05882660206463,4.21844238715991e-7,4.76494607283736e-6,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",FAM182B,5.55703208543341,-0.587281861134255,0.206197689986424,-2.84814956546274,0.00439742529233424,0.0159764280376523,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",WNT10B,26.211974614548,-0.3856977453495,0.110620151475198,-3.48668610742208,4.8904498340941e-4,0.00242888805642991,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",SNCA,49955.3295073464,0.289148966137923,0.10915078630218,2.64907817830487,0.00807116585804905,0.0265170632064702,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",SNCA,49955.3295073464,0.289148966137923,0.10915078630218,2.64907817830487,0.00807116585804905,0.0265170632064702,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",AAMP,435.63354185734,0.185485873120028,0.0430896279073459,4.30465246808052,1.67248075536017e-5,1.2605763019346e-4,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",WNT16,6.6557110695727,-0.901298331904498,0.239214361734503,-3.76774339704914,1.6472989990325e-4,9.4433044271031e-4,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",KIT,51.9195523144316,-0.580619368408014,0.0883736729477132,-6.57004907730316,5.0298680937145e-11,1.2231440048752201e-9,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",WNT2B,8.55213177144251,-0.484841588684417,0.149435468431193,-3.24448803068235,0.00117661962295192,0.00517278857279325,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",DEXI,117.370055319428,-0.263308780936074,0.053688459388186,-4.90438324989476,9.37213447967883e-7,9.70970095234056e-6,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",POLE4,118.06770184747,0.240826354577052,0.0516011534493491,4.66707308807434,3.05520674436592e-6,2.79584386966435e-5,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",CHILL1,61.3949189435706,-0.337839409319996,0.113827194004551,-2.96800261373824,0.00299741781749519,0.0115868442257926,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",CHIT1,74.9204647991436,-0.413376793026163,0.125912533820975,-3.2830472112801,0.00102691466017442,0.00461201805087975,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",MRPL38,27.2199863434985,-0.287793762525013,0.0958373554770723,-3.0029393141369,0.0026738574420204,0.0104668962570485,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",ATP1B3,431.831819230113,0.613492878491733,0.0622496741871017,9.85535886738585,6.498413022246739e-23,5.51065424286524e-21,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",NUP188,469.569781138297,-0.193595033164125,0.0429283967706271,-4.5097196198249,6.49133621734499e-6,5.46016289611796e-5,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",NAA50,1333.93713349323,-0.135915379119385,0.0299125139239712,-4.54376317098728,5.52587396446071e-6,4.73327386046736e-5,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",TDRKH,76.562810915838,-0.279575843937236,0.0628693576154796,-4.44693336374093,8.71048433751526e-6,7.05715673714612e-5,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",GPBP1,2564.85322922367,0.358175284203411,0.0494240004741463,7.24699095110224,4.26132423958225e-13,1.4201933011568398e-11,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",AARS2,237.858715217266,-0.191113072392116,0.0445258630288629,-4.29218120417412,1.76926467167075e-5,1.3216666858914e-4,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",SNF8,385.002280479774,0.252934432372693,0.0404603222000785,6.25141913408199,4.06739687485898e-10,8.4201734942831e-9,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",WNT7A,48.0900328875955,-0.619529542428951,0.123945863430403,-4.99838820983988,5.78115064923357e-7,6.29411437303147e-6,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",DFFB,110.9524926893,-0.136801989791636,0.0483781284038538,-2.82776523824222,0.00468741669422015,0.0168138951325184,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",GPBP1L1,3256.04312355018,0.0971504698163831,0.0363520451485773,2.67248979856048,0.00752906637057456,0.0250015233677556,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",MRPL44,373.204598399826,0.690835494548058,0.0691538283707775,9.98983730653423,1.68858659204103e-23,1.52212120517211e-21,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",SNHG1,349.670919480549,-0.17423801927514,0.0538943162592138,-3.23295722756947,0.0012251590476394,0.0053481871410394,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",CHMP1A,880.710802967808,0.159466951108374,0.0410240800699845,3.88715483287703,1.0142606292594e-4,6.1992822657564e-4,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",POLK,551.787089786662,0.268254217842301,0.0343476141331646,7.80998111840573,5.7196553750307005e-15,2.35111722561406e-13,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",DFFBP1,28.2300225459282,0.406992557753882,0.102749703079459,3.96100957526996,7.46335394969528e-5,4.7401096264139e-4,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",S1PR1,1415.27167503275,-0.476240294941451,0.0617813075137209,-7.70848520542695,1.2731987635292e-14,5.08746228442661e-13,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",ATP2A3,3520.21841856977,-0.282002209294757,0.050029751466193,-5.63669018994261,1.73349567006291e-8,2.57393753967317e-7,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",FAM199X,633.101382038385,-0.100413197942411,0.0268210817811483,-3.7438161056199,1.8124632710676e-4,0.00102641996177011,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
