"Cond1","Cond2","jaccard_distance","Shared","NotShared_cond1","NotShared_cond2","Total_Genes_Cond1","Total_Genes_Cond2","Genes_Names","Percentage_Shared_Cond1","Percentage_Shared_Cond2","pvalue","-log(p)"
"myeloid cell enriched receptors and transporters","enriched in monocytes (I)",0,0,31,11,31,11,"",0,0,2.33614218360878e-10,9.63150072847849
"myeloid cell enriched receptors and transporters","enriched in monocytes (I)",0,0,31,11,31,11,"",0,0,2.33614218360878e-10,9.63150072847849
"myeloid cell enriched receptors and transporters","regulation of antigen presentation and immune response",0.018,2,29,79,31,81,"CD86, TLR5",6.45,2.47,1.50067576707436e-24,23.8237131303958
"myeloid cell enriched receptors and transporters","regulation of antigen presentation and immune response",0.018,2,29,79,31,81,"CD86, TLR5",6.45,2.47,1.50067576707436e-24,23.8237131303958
"myeloid cell enriched receptors and transporters","T cell activation and signaling",0,0,31,25,31,25,"",0,0,1.7939019810315e-16,15.7462012905339
"myeloid cell enriched receptors and transporters","T cell activation and signaling",0,0,31,25,31,25,"",0,0,1.7939019810315e-16,15.7462012905339
"myeloid cell enriched receptors and transporters","enriched in T cells (I)",0,0,31,62,31,62,"",0,0,2.23702163551852e-25,24.6503298155722
"myeloid cell enriched receptors and transporters","enriched in T cells (I)",0,0,31,62,31,62,"",0,0,2.23702163551852e-25,24.6503298155722
"myeloid cell enriched receptors and transporters","T cell activation (I)",0,0,31,50,31,50,"",0,0,4.31403734049886e-23,22.3651161001462
"myeloid cell enriched receptors and transporters","T cell activation (I)",0,0,31,50,31,50,"",0,0,4.31403734049886e-23,22.3651161001462
"myeloid cell enriched receptors and transporters","enriched in NK cells (I)",0,0,31,49,31,49,"",0,0,6.98874049160823e-23,22.1556010856036
"myeloid cell enriched receptors and transporters","enriched in NK cells (I)",0,0,31,49,31,49,"",0,0,6.98874049160823e-23,22.1556010856036
"myeloid cell enriched receptors and transporters","T cell activation (II)",0,0,31,31,31,31,"",0,0,4.29711680865974e-18,17.3668228407152
