Cond1,Cond2,Shared,Total_Genes_Cond1,Percentage_Shared_Cond1,pvalue,-log(p)
myeloid cell enriched receptors and transporters,regulation of antigen presentation and immune response,2,31,6.45,1.5006757670743605e-24,23.82371313039577
myeloid cell enriched receptors and transporters,regulation of antigen presentation and immune response,2,31,6.45,1.5006757670743605e-24,23.82371313039577
myeloid cell enriched receptors and transporters,enriched in monocytes (II),20,31,64.52,2.1834575091898377e-10,9.660855255175633
myeloid cell enriched receptors and transporters,enriched in monocytes (II),20,31,64.52,2.1834575091898377e-10,9.660855255175633
myeloid cell enriched receptors and transporters,TLR and inflammatory signaling,2,31,6.45,1.486802126344899e-18,17.827746826471124
myeloid cell enriched receptors and transporters,TLR and inflammatory signaling,2,31,6.45,1.486802126344899e-18,17.827746826471124
myeloid cell enriched receptors and transporters,TLR8-BAFF network,2,31,6.45,7.314248800316901e-7,6.135830270855104
myeloid cell enriched receptors and transporters,TLR8-BAFF network,2,31,6.45,7.314248800316901e-7,6.135830270855104
myeloid cell enriched receptors and transporters,immune activation - generic cluster,7,31,22.58,7.546587516140212e-32,31.122249387170363
myeloid cell enriched receptors and transporters,immune activation - generic cluster,7,31,22.58,7.546587516140212e-32,31.122249387170363
myeloid cell enriched receptors and transporters,complement and other receptors in DCs,2,31,6.45,1.8221909032148454e-8,7.739406125788014
myeloid cell enriched receptors and transporters,complement and other receptors in DCs,2,31,6.45,1.8221909032148454e-8,7.739406125788014
myeloid cell enriched receptors and transporters,enriched in myeloid cells and monocytes,2,31,6.45,3.348170180080702e-16,15.475192475890351
myeloid cell enriched receptors and transporters,enriched in myeloid cells and monocytes,2,31,6.45,3.348170180080702e-16,15.475192475890351
myeloid cell enriched receptors and transporters,enriched in monocytes (IV),3,31,9.68,1.9715655197023564e-19,18.705188785736397
myeloid cell enriched receptors and transporters,enriched in monocytes (IV),3,31,9.68,1.9715655197023564e-19,18.705188785736397
myeloid cell enriched receptors and transporters,Monocyte surface signature,7,31,22.58,3.7870531851187527e-19,18.42169859563402
myeloid cell enriched receptors and transporters,Monocyte surface signature,7,31,22.58,3.7870531851187527e-19,18.42169859563402
