Cond1,Cond2,Shared,Total_Genes_Cond1,Percentage_Shared_Cond1,pvalue,-log(p)
B cell,TCD4,23,389,5.91,2.767769583116098e-75,74.5578700677364
B cell,TCD8,27,389,6.94,1.1666998078456833e-93,92.93304087366074
B cell,Treg,12,389,3.08,1.0097701865889385e-64,63.99577745597273
B cell,T helper,11,389,2.83,6.826471761895923e-43,42.16580370191901
B cell,Neutrophil,20,389,5.14,1.408337564716855e-53,52.85129323658395
B cell,Granulocyte-monocyte,5,389,1.29,7.148981025612006e-78,77.14575585561019
B cell,Monocyte,34,389,8.74,3.654078537121064e-66,65.43722212259055
B cell,Dendritic cell,47,389,12.08,1.6858362391451075e-144,143.7731846146993
B cell,Macrophage,13,389,3.34,2.191356155615611e-50,49.65928703191064
B cell,Mast cell,2,389,0.51,2.677053156995251e-7,6.572343005144592
B cell,Natural killer,17,389,4.37,3.866106937431617e-70,69.41272613745332
B cell,Platelet,3,389,0.77,2.054118978464738e-46,45.687374404850615
B cell,Eosinophil,8,389,2.06,6.366332512930311e-30,29.196110681963916
B cell,Basophil,6,389,1.54,2.8579857519465416e-15,14.543939940648764
B cell,Granulocyte,4,389,1.03,1.936803446316914e-21,20.712914450789018
TCD4,TCD8,81,331,24.47,1.6848138069442443e-43,42.77344808712777
TCD4,Treg,26,331,7.85,1.117944621014358e-47,46.951579709315034
TCD4,T helper,19,331,5.74,5.542448335101428e-33,32.256298346546345
TCD4,Neutrophil,13,331,3.93,2.0281884499898606e-61,60.69289169480795
TCD4,Granulocyte-monocyte,4,331,1.21,7.887414015146077e-79,78.10306536219487
TCD4,Monocyte,26,331,7.85,1.4610578127291038e-73,72.83533259908796
TCD4,Dendritic cell,31,331,9.37,4.0446437300050533e-165,164.39311972693358
TCD4,Macrophage,7,331,2.11,3.2283059647248385e-58,57.491025311467126
TCD4,Mast cell,2,331,0.6,2.9129182506387847e-7,6.535671703424052
TCD4,Natural killer,37,331,11.18,3.2436345772879315e-48,47.488968078630606
TCD4,Platelet,5,331,1.51,1.346706647191857e-42,41.8707269962449
TCD4,Eosinophil,5,331,1.51,3.7905175004427414e-34,33.4213014939253
TCD4,Basophil,3,331,0.91,5.577802834130136e-20,19.253536841371993
TCD4,Granulocyte,3,331,0.91,5.400358425445675e-23,22.267577414801586
TCD8,Treg,24,433,5.54,1.4538518942164714e-63,62.837479833367404
TCD8,T helper,19,433,4.39,1.3019993300828162e-40,39.885389239225134
TCD8,Neutrophil,15,433,3.46,1.7995331125226573e-73,72.74484015765037
TCD8,Granulocyte-monocyte,9,433,2.08,3.346845381925137e-87,86.47536435078169
TCD8,Monocyte,24,433,5.54,1.3495633456031168e-99,98.8698067257794
TCD8,Dendritic cell,51,433,11.78,5.488786051435436e-208,207.2605236973459
TCD8,Macrophage,7,433,1.62,2.0994130564066213e-70,69.67790210621523
TCD8,Mast cell,2,433,0.46,5.3433943035997e-8,7.272182776863489
TCD8,Natural killer,44,433,10.16,1.1038497870744264e-57,56.9570900217909
TCD8,Platelet,2,433,0.46,5.234236530175926e-56,55.28114665589767
TCD8,Eosinophil,5,433,1.15,7.1420417034463136e-40,39.14617761822561
TCD8,Basophil,3,433,0.69,1.1172753871215123e-22,21.951839768364607
TCD8,Granulocyte,4,433,0.92,2.4683991110823972e-24,23.60758461865535
Treg,T helper,11,130,8.46,1.157196996334152e-32,31.93659270229436
