"process","genes","gene_set_short","immune_system","immune_sub_system","immune_tissue","go_term","set_size"
"ACTIVATED T CELL PROLIFERATION","ABL1","Proliferation, T cell, Activated","Adaptive","Cellular","T cell","GO:0050798",3
"ACTIVATED T CELL PROLIFERATION","STAT5B","Proliferation, T cell, Activated","Adaptive","Cellular","T cell","GO:0050798",3
"ACTIVATED T CELL PROLIFERATION","IL2","Proliferation, T cell, Activated","Adaptive","Cellular","T cell","GO:0050798",3
"ACTIVATED T CELL PROLIFERATION","FYN","Proliferation, T cell, Activated","Adaptive","Cellular","T cell","GO:0050798",3
"ACTIVATED T CELL PROLIFERATION","IL2RA","Proliferation, T cell, Activated","Adaptive","Cellular","T cell","GO:0050798",3
"ACTIVATED T CELL PROLIFERATION","BTN3A1","Proliferation, T cell, Activated","Adaptive","Cellular","T cell","GO:0050798",3
"ACTIVATED T CELL PROLIFERATION","GPAM","Proliferation, T cell, Activated","Adaptive","Cellular","T cell","GO:0050798",3
"ACTIVATION OF IMMUNE RESPONSE","HMSD","Activation, Immune response","General","Immune","Undefined","GO:0002253",1
"ACTIVATION OF IMMUNE RESPONSE","TREX1","Activation, Immune response","General","Immune","Undefined","GO:0002253",1
"ACTIVATION OF INNATE IMMUNE RESPONSE","STING1","Activation, Innate immune response","Innate","General","Undefined","GO:0002218",16
"ACTIVATION OF INNATE IMMUNE RESPONSE","MAVS","Activation, Innate immune response","Innate","General","Undefined","GO:0002218",16
"ACTIVATION OF INNATE IMMUNE RESPONSE","NLRP10","Activation, Innate immune response","Innate","General","Undefined","GO:0002218",16
"ACTIVATION OF INNATE IMMUNE RESPONSE","XRCC5","Activation, Innate immune response","Innate","General","Undefined","GO:0002218",16
"ACTIVATION OF INNATE IMMUNE RESPONSE","MNDA","Activation, Innate immune response","Innate","General","Undefined","GO:0002218",16
"ACTIVATION OF INNATE IMMUNE RESPONSE","CGAS","Activation, Innate immune response","Innate","General","Undefined","GO:0002218",16
"ACTIVATION OF INNATE IMMUNE RESPONSE","TLR4","Activation, Innate immune response","Innate","General","Undefined","GO:0002218",16
"ACTIVATION OF INNATE IMMUNE RESPONSE","CASP6","Activation, Innate immune response","Innate","General","Undefined","GO:0002218",16
"ACTIVATION OF INNATE IMMUNE RESPONSE","XRCC6","Activation, Innate immune response","Innate","General","Undefined","GO:0002218",16
"ACTIVATION OF INNATE IMMUNE RESPONSE","SFPQ","Activation, Innate immune response","Innate","General","Undefined","GO:0002218",16
"ACTIVATION OF INNATE IMMUNE RESPONSE","PYHIN1","Activation, Innate immune response","Innate","General","Undefined","GO:0002218",16
"ACTIVATION OF INNATE IMMUNE RESPONSE","MATR3","Activation, Innate immune response","Innate","General","Undefined","GO:0002218",16
"ACTIVATION OF INNATE IMMUNE RESPONSE","HEXIM1","Activation, Innate immune response","Innate","General","Undefined","GO:0002218",16
"ACTIVATION OF INNATE IMMUNE RESPONSE","GBP2","Activation, Innate immune response","Innate","General","Undefined","GO:0002218",16
"ACTIVATION OF INNATE IMMUNE RESPONSE","PRKDC","Activation, Innate immune response","Innate","General","Undefined","GO:0002218",16
"ACTIVATION OF INNATE IMMUNE RESPONSE","HMGB1","Activation, Innate immune response","Innate","General","Undefined","GO:0002218",16
"ACTIVATION OF INNATE IMMUNE RESPONSE","HSP90AA1","Activation, Innate immune response","Innate","General","Undefined","GO:0002218",16
"ACTIVATION OF INNATE IMMUNE RESPONSE","IFI16","Activation, Innate immune response","Innate","General","Undefined","GO:0002218",16
"ACTIVATION OF INNATE IMMUNE RESPONSE","NONO","Activation, Innate immune response","Innate","General","Undefined","GO:0002218",16
"ACTIVATION OF INNATE IMMUNE RESPONSE","AIM2","Activation, Innate immune response","Innate","General","Undefined","GO:0002218",16
"ACTIVATION OF INNATE IMMUNE RESPONSE","TOMM70","Activation, Innate immune response","Innate","General","Undefined","GO:0002218",16
