"","genes","shared"
"1","BTK",72
"2","CCL2",72
"3","SYK",72
"4","CCL20",60
"5","CCL3",60
"6","CCR2",60
"7","GPR183",60
"8","TLR4",60
"9","XCL1",60
"10","CCL1",50
"11","CCL18",50
"12","CCL5",50
"13","CCL8",50
"14","GATA3",50
"15","IFNA8",50
"16","IFNE",50
"17","PIK3CG",50
"18","RASGRP1",50
"19","AZU1",40
"20","BCL10",40
"21","CR2",40
"22","CX3CL1",40
"23","FCER1G",40
"24","HMGB1",40
"25","IL10",40
"26","IRF8",40
"27","LBP",40
"28","LGALS3",40
"29","MBL2",40
"30","MPL",40
"31","NOTCH2",40
"32","PHB1",40
"33","PLCG2",40
"34","RBPJ",40
"35","SLC11A1",40
"36","SRC",40
"37","STAT5B",40
"38","VAV1",40
"39","ADAM17",32
"40","BAX",32
"41","BCL3",32
"42","BCL6",32
"43","CCL23",32
"44","CCL24",32
"45","CCL3L1",32
"46","CCL4",32
"47","CCL4L1",32
"48","CCL7",32
"49","FOSL2",32
"50","HCK",32
"51","HSPD1",32
"52","IL6R",32
"53","ITK",32
"54","JAK3",32
"55","JAML",32
"56","KIT",32
"57","LAG3",32
"58","LIPA",32
"59","NCKAP1L",32
"60","PRKCE",32
"61","PRKDC",32
"62","PTPN6",32
"63","PTPRC",32
"64","RC3H1",32
"65","S100A12",32
"66","SP3",32
"67","TICAM1",32
"68","ZAP70",32
"69","B2M",24
"70","BCAR1",24
"71","BCL2",24
"72","C4B",24
"73","CCR7",24
"74","CD40",24
"75","CD40LG",24
"76","CD70",24
"77","CD81",24
"78","CD86",24
"79","CEBPG",24
"80","CLEC4G",24
"81","CTLA4",24
"82","CTPS1",24
"83","DEFA1",24
"84","DEFA4",24
"85","FCER1A",24
"86","HAMP",24
"87","HLA-DRB3",24
"88","HLA-E",24
"89","IL12B",24
"90","IL15",24
"91","IL2RG",24
"92","IL4R",24
"93","IL7",24
"94","IL7R",24
"95","KLRK1",24
"96","MYO1G",24
"97","NOTCH1",24
"98","PIK3R1",24
"99","RAG1",24
"100","SPI1",24
"101","SPNS2",24
"102","TEC",24
"103","ABL1",18
"104","BST2",18
"105","CASP3",18
"106","CD46",18
"107","CD6",18
"108","CHRNA7",18
"109","CORO1A",18
"110","CR1",18
"111","CSF1",18
"112","CTSG",18
"113","CXCL12",18
"114","CXCR2",18
"115","DOCK8",18
"116","EMP2",18
"117","EP300",18
"118","F2RL1",18
"119","FCGR2B",18
"120","FGR",18
"121","HDAC4",18
"122","HLA-G",18
"123","IL2",18
"124","IL33",18
"125","IRF1",18
"126","JMJD6",18
"127","KLRC1",18
"128","LFNG",18
"129","LIG4",18
"130","MAPK1",18
"131","MCOLN2",18
"132","NFKBIA",18
"133","PDE4B",18
"134","PRDX2",18
"135","PRKCD",18
"136","PSEN1",18
"137","PTPN2",18
"138","PTPRJ",18
"139","RAG2",18
"140","RELB",18
"141","RPS19",18
"142","STAT6",18
"143","TNFAIP3",18
"144","WAS",18
"145","WNT4",18
"146","ALOX5",12
"147","AXL",12
"148","C17orf99",12
"149","C5AR1",12
"150","CAMP",12
"151","CD160",12
"152","CD19",12
"153","CD1C",12
"154","CD1D",12
"155","CD28",12
"156","CD79A",12
"157","CD79B",12
"158","CD83",12
"159","CEBPB",12
"160","CH25H",12
"161","CTSH",12
"162","CXADR",12
