Cond1,Cond2,jaccard_distance,Shared,NotShared_cond1,NotShared_cond2,Total_Genes_Cond1,Total_Genes_Cond2,Genes_Names,Percentage_Shared_Cond1,Percentage_Shared_Cond2,pvalue,-log(p)
ADAPTIVE IMMUNE SYSTEM,IMMUNE SYSTEM,0.074,75,874,58,3078,399,"CD4, CD247, CCR7, HLA-DRA, TRAT1, ZAP70, HLA-DRB1, GIMAP6, ITK, CD3E, PTPRC, CD3D, LCK, CD3G, TRBC1, UBASH3A, TRAC, SLA2, PRKCQ, THEMIS, PTPN22, CD8A, ITPR3, KLRK1, LIME1, CD24, GRAP2, FOS, JUN, LILRB2, LILRB1, ITGA4, FYN, MAPK14, SELL, PTPN6, CTLA4, MEF2C, CD19, CD1B, TLR4, LYN, BTLA, HLA-DOB, HLA-DOA, HLA-DQA1, BTK, TLR10, INPP5D, SYK, DUSP6, HLA-DPB1, HLA-DPA1, HLA-DMA, HLA-E, HLA-C, HLA-DMB, CD1C, CSK, CTSH, CD1E, HLA-DRB4, CD86, NCKAP1L, MNDA, NFKBIA, WDFY4, FCER1G, HCK, FGR, IRF8, ITGAL, HLA-G, PLCG1, CD1D",2.44,18.8,2.1327382784938176e-57,56.67106243624296
ADAPTIVE IMMUNE SYSTEM,ANTIMICROBIAL,0.012,12,937,51,3078,189,"XCL1, GNLY, BCL3, CCL18, CCL1, CCL8, CCL20, CXCL12, DEFA4, DEFA1, B2M, SLC11A1",0.39,6.35,1.5142207074143996e-74,73.81981081900614
ADAPTIVE IMMUNE SYSTEM,ANTIVIRAL & IFN,0.038,40,909,107,3078,453,"IL12RB1, CCL5, XCL1, FASLG, CCL4, TLR4, LHCGR, NMBR, IMPG2, HLA-DPA1, TAP1, IFNA8, IFNE, PHB1, HDAC4, IRF1, HCK, IRF8, BCL3, CCL2, CCL3, CCL18, CCL7, CX3CL1, CCL4L1, CCL1, CCL3L1, CCL8, CCL24, CCL20, CCL23, PTX3, MBL2, WAS, NCK1, IL12B, UBE2N, JAK1, ACOD1, FCER1A",1.3,8.83,1.6164476771223293e-113,112.79143834852525
ADAPTIVE IMMUNE SYSTEM,ARPP,0.128,144,805,175,3078,1053,"CD4, CD247, CCR7, HLA-DRA, TRAT1, ZAP70, HLA-DRB1, GIMAP6, ITK, CD3E, PTPRC, CD3D, LCK, CD3G, CCL5, TRBC1, UBASH3A, TRAC, SLA2, XCL1, PRKCQ, THEMIS, PTPN22, CD8A, ITPR3, KLRK1, LIME1, CD24, GRAP2, FOS, JUN, TNF, FOSL1, LILRB2, LILRB1, TYROBP, ITGA4, LILRB3, FYN, MAPK14, SELL, SPI1, LAG3, PTPN6, SLC40A1, F2R, CTLA4, CCL4, MEF2C, CD19, CD1B, TLR4, LYN, BTLA, HLA-DOB, ALOX5, HLA-DOA, HLA-DQA1, BTK, TLR10, INPP5D, SYK, PLCG2, DUSP6, LY86, HLA-DPB1, EDNRB, HLA-DPA1, ITGB6, HLA-DMA, CXCR4, HLA-E, HLA-C, CLEC6A, HLA-DMB, CD1C, HLA-DRB3, CTSS, CSK, LILRA6, BCL10, KLRC1, KLRC2, TAP1, CTSH, MCOLN2, GPR183, CD1E, HLA-DRB4, HMGB1, CD86, PIK3CG, P0DOX3, TICAM1, CD40, PHB1, HSPD1, BST2, EP300, BCL6, RBPJ, NCKAP1L, MNDA, NFKBIA, TNFAIP3, LIPA, WDFY4, FCER1G, SRC, PRKCE, HCK, FGR, IRF8, JAML, CCL2, MPL, DOCK8, CCL3, CCL18, CCL7, CX3CL1, CCL4L1, CCL1, CCL3L1, SAA1, CCL8, CCL24, CCL20, CCL23, RELB, NOTCH2, ITGAL, LBP, MBL2, HLA-G, PSEN1, JMJD6, PSMB10, SLC11A1, PLCG1, CD1D, CCR2, IL6R, IL33",4.68,13.68,2.541926035218637e-116,115.59483709066782
ADAPTIVE IMMUNE SYSTEM,B CELL,0.498,473,476,0,3078,1650,"CD52, CCR7, HLA-DRA, ZAP70, ITK, IL2RG, PTPRC, IL7R, RASGRP1, BCL11B, CD27, GATA3, MS4A1, SP140, CD24, BCL2, TNF, IL2RB, CXADR, CD40LG, ITGA4, VCAM1, CD37, SPI1, PTPN6, JAK3, TCF4, CTLA4, FCER2, IGHD, BLK, CD200, KIT, CD79A, MEF2C, GAB1, BANK1, CD19, PTK2, EBF1, ICOSLG, VPREB1, VPREB3, LOC100130458, TCL1A, FAM150B, TNFSF13, LIF, HHEX, CEBPE, CBFA2T3, LTA, TLR4, LYN, STAP1, CD72, TSPAN13, BCL11A, C13orf18, KIAA0125, CD79B, P2RX5, BTLA, AFF3, PPAPDC1B, IGHM, LOC90925, FCRLA, SPIB, FAM129C, ABCB4, FCRL1, FCRL5, KLHL14, CXCR5, PCDH9, RALGPS2, CD22, IGH@, IGKV3-20, MACROD2, PNOC, ADAM28, LOC283663, CR2, PAX5, E2F5, PLEKHG1, PKIG, FCRL2, IGLJ3, HLA-DOB, PTPRK, IGHA1, LOC642838, LOC642424, IGK@, TPD52, CDK14, BLNK, FCGR2B, CELSR1, DENND5B, PAWR, CD180, LOC100130100, POU2AF1, FAM30A, KLF8, LOC652493, IGKC, LOC284749, FCRL3, TBC1D9, ALOX5, CD69, FAIM3, IGLV1-44, IGL@, HLA-DOA, HLA-DQA1, BTK, CPNE5, CIITA, TLR10, IGHG1, GPR18, LY9, INPP5D, SYK, PIK3CD, VAV1, PLCG2, PIK3R5, PIK3R3, RAC2, JAM3, NEDD4, GAB2, DUSP6, NR3C2, NRXN3, LY86, HBEGF, LOC144481, NR4A1, DLL1, LOC100288911, NR4A3, IGKV4-1, LOC100287723, LOC100289053, IGKV1D-13, ITM2C, LOC96610, IGLV4-60, IGLV3-19, LOC91316, LOC100290557, IGLV2-23, IGJ, OSBPL10, CYAT1, LOC100293440, TNFRSF17, GNG7, IGLL3, MGC29506, IGLL5, TXNDC5, DERL3, MUTED, IGHV3-48, IGKV1-5, SSPN, AVPR1A, KCNE4, HEPACAM2, GYPA, SEMA4B, EGF, GPR37, C11orf87, USH2A, PPP1R3A, OR12D3, POPDC3, DCC, SLC12A1, GP5, CDH5, SLITRK6, HLA-DPB1, PCDHA3, TRHDE, GHR, TAS2R13, FLRT2, TPTE, TMEM100, GYPE, PLD4, ADAM7, KCNMB3, GPR6, CSPG4, SYT2, ROBO2, FREM2, TRPC1, GPR116, TMEM47, SCN3A, NPY1R, LPPR4, NOX4, PDZK1IP1, CCR9, GABBR1, EDNRB, GJC1, LHCGR, PCDHB8, NT5E, PDPN, PCDHB4, CLDN8, LRRTM4, HRH4, NMBR, NCAM2, GRM5, TM4SF20, IL5RA, JAM2, IL28RA, MC3R, F2RL3, ASTN1, MOGAT2, SLC26A7, SLC24A1, TACR3, IL13RA2, IMPG2, LRRC19, TMEFF2, PCDH10, BTC, GPR98, AGTR1, TMEM133, UGT2A3, OR11A1, CSMD1, TRPC7, CCR6, GABRA5, PLP1, CLCA4, CNR1, EPHA3, SLC30A10, SGCE, CHRNB4, PCDHB10, PCDHB16, PCDHB15, PCDHB14, CADM2, GPR85, SLC6A15, GPR87, NLGN1, SLC13A1, OR1E1, GABRB1, TAAR2, HHLA2, SLC17A6, CNTNAP3, SLC6A16, HLA-DPA1, ABCA8, OR2J2, CHL1, TMEM156, SLC5A7, OR2W1, LPHN3, LPHN2, LRP1B, PCDH20, KCND2, SLC44A5, ITGB6, NLGN4Y, CHRM2, PTH2R, HEPH, BAI3, PTPRR, SELE, FAM26F, SCN1A, HTR1E, HLA-DMA, PPAP2C, KCNG2, SLC5A4, CAV1, TEK, TMEM37, GP1BB, SLC16A14, ICAM2, SLC44A1, CCR10, CHRM1, CLPTM1L, KCNN3, HM13, GPR25, KCNH1, TXNDC15, SDC1, DRD4, KRTCAP2, TRAM2, SCARB2, AMIGO3, LGR4, TRHR, GHSR, P2RY14, SLC38A11, C4orf34, CXCR4, TMEM56, KCNJ16, SLC26A3, MUC15, OR1G1, TAS2R7, HVCN1, GABRE, CLDN17, SORCS3, LINGO1, NKAIN4, TAS2R10, GRAMD1C, TNFRSF13B, ADAM2, GLP2R, ABL1, STAT5B, MYO1G, RAG1, BCL10, TEC, C17orf99, GPR183, IFNA8, BMX, LAX1, CD86, CD81, IFNE, CLEC4G, TICAM1, TBC1D10C, CHRNA4, CD40, GAPT, PHB1, CHRNA7, HSPD1, CHRNB2, TXLNA, BST2, AKAP17A, EPHB2, HDAC4, CH25H, TOP2B, PIK3R1, MSH2, RAG2, ADGRG3, FZD9, EP300, PTPRJ, YY1, PTPN2, LYL1, CEBPG, BCL6, SP3, ZBTB7A, NFAM1, IL10, IL11, TCF3, RBPJ, FOSL2, FLT3, ADAM17, IL9, CDH17, SPNS2, BAX, CAMLG, RC3H1, SOS2, SOS1, NCKAP1L, CASP3, PRKDC, CD70, IL7, PRKCD, CTPS1, CD38, WNT3A, BCAR1, GRB2, MNDA, MAPK1, NFKBIA, NFKB1, TNFAIP3, LIG4, FCER1G, LIMK1, VAV2, SRC, PRKCE, HCK, FGR, PLPP4, IRF8, BCL3, ZP3, IRF2BP2, SYVN1, WNT4, IL4R, IL9R, MPL, CSF2RB, MLH1, ERCC1, UNG, RNF168, SANBR, MSH6, STAT6, LFNG, NOTCH2, ST3GAL1, PTX3, SFTPA1, LBP, C4B, MBL2, HLA-G, LRRC8A, SHLD3, SHLD1, SHLD2, PMS2, MSH3",15.37,28.67,1,-0
ADAPTIVE IMMUNE SYSTEM,LEUKOCYTES,0.199,378,571,955,3078,7419,"CD4, CD247, CD2, CCR7, HLA-DRA, TRAT1, ZAP70, GIMAP6, TRA@, ITK, IL2RG, CD3E, CD3G, IL7R, KLRB1, CCL5, RASGRP1, SH2D1A, BCL11B, CD6, CD7, NKG7, UBASH3A, TRD@, SLA2, RORA, MAL, EOMES, XCL2, XCL1, ETS1, SAMD3, NLRC3, PRKCH, CD28, GNLY, LAT, PRF1, PRKCQ, GIMAP7, GATA3, GZMA, GZMB, CD96, GZMM, GZMH, TIGIT, IL32, TARP, THEMIS, TCF7, MS4A1, TXK, CAMK4, CD8B, CRTAM, KLRK1, CORO1A, SLAMF7, CCR5, STAT4, CXCR3, IFNG, IL18R1, CHST15, GRAP2, FASLG, BCL2, HNRPLL, IL2RA, FOS, TNF, TNFRSF4, ATF3, IL2RB, LILRB4, CD40LG, LILRB2, LILRB1, TYROBP, ITGA4, VCAM1, LILRB3, IL23A, IFI30, MAPK14, SELL, SPI1, LAG3, LTB, JAK3, SLC40A1, CHI3L2, HOPX, PLEKHF1, FGFBP2, TRGC2, CXCR6, GPR114, CTLA4, CCL4, FCER2, CAMK2D, CSF3, OSM, IGHD, BLK, CD200, IL1A, KIT, CD79A, MEF2C, DTX3, GAB1, SH2D2A, ADARB1, LARGE, FAM69B, CTGF, PRKCZ, CLIP4, BANK1, DHCR24, NAV1, CD19, FKBP14, PTK2, CD1B, EBF1, GPM6B, ICOSLG, VPREB1, CD9, VPREB3, LOC100132741, PSD3, SAMD13, RGL1, SCD, NDST3, ELOVL4, NTRK2, LOC100130458, RNF150, LRP12, ACPL2, TCL1A, GXYLT2, STK32B, ACCN2, GH1, LOC284757, ADCY9, VSIG10, OGN, FAM150B, CSRP2, HHIP, TNFSF13, LIF, HHEX, CEBPE, TLR4, LYN, CD72, CD79B, BTLA, LOC90925, CXCR5, CD22, MACROD2, CR2, PAX5, HLA-DOB, CDK14, FCGR2B, IGKC, ALOX5, HLA-DOA, HLA-DQA1, BTK, CIITA, GPR18, SYK, VAV1, JAM3, DUSP6, LY86, DLL1, TNFRSF17, EGF, CCR9, PDPN, JAM2, HLA-DPA1, ITGB6, SELE, HLA-DMA, CCR10, CXCR4, IL2, FAS, TAP2, FBXO38, P0DOX7, MYO1G, BTN3A2, HLA-E, OTUD7B, HLA-C, CLEC6A, RAG1, HLA-DMB, CD1C, NLRP10, P0DOX6, HLA-DRB3, P0DOX8, CTSS, CSK, CX3CR1, LILRA6, BCL10, VTCN1, KLRC1, TEC, KLRC2, ZNF683, TAP1, C17orf99, LAIR1, ARG2, CD160, CTSH, ERAP2, MCOLN2, LILRA3, GPR183, RNF19B, CD1E, P0DOX5, BTNL8, HLA-DRB4, IFNA8, BMX, CD46, P0DOX2, HMGB1, LAX1, CD8B2, CLEC10A, CD86, TFEB, C1QBP, TARM1, P0DOX4, HMHB1, CD81, SKAP1, PIK3CG, P0DOX3, FGL1, TFE3, IFNE, CLEC4G, TICAM1, CD40, BST2, CH25H, PIK3R1, MSH2, CEBPG, BCL6, NFAM1, IL10, RBPJ, FLT3, IL9, SPNS2, BAX, RC3H1, SOS1, PRKDC, CD70, IL7, PRKCD, CTPS1, CD38, BCAR1, MNDA, NFKBIA, NFKB1, TNFAIP3, ASXL1, CD83, FUT7, IRF1, TNFSF8, MYH9, IL15, FCER1G, SRC, PRKCE, HCK, FGR, IRF8, JAML, NFKB2, BCL3, CCL2, IL4R, CSF2RB, MSN, UNG, AXL, CCL3, CCL18, CCL7, ADAM8, CX3CL1, CCL4L1, CCL1, CCL3L1, CCL8, CCL24, CCL20, CCL23, RELB, NOTCH2, TNFSF4, SPN, PTX3, LBP, C4B, MBL2, HLA-G, LGALS1, ADAR, NKX2-3, WAS, SMAD3, TNFAIP8L2, CD80, MDK, F2RL1, CXCL12, DEFA4, DEFA1, MAP3K8, LEP, B2M, PRDX2, CTSC, JAG1, CR1, S1PR1, ITGB7, PSMB10, FKBP1B, KITLG, IDO1, CD151, SLC11A1, THEMIS2, PDE4B, NFKBID, DENND1B, CD1D, CEBPB, CCR2, RORC, IL6R, NOTCH1, MYB, PTGER4, ACOD1, FCER1A, HMGB2",12.28,5.1,1.475306646090569e-228,227.83111770113413
ADAPTIVE IMMUNE SYSTEM,CELLULAR ADAPTIVE IMMUNE SYSTEM,0.463,447,502,16,3078,1506,"CD52, CD4, CD247, CD2, CCR7, BIN2, HLA-DRA, IL12RB1, TRAT1, ZAP70, TRAF3IP3, HLA-DRB1, PRKAR1B, GIMAP6, TRA@, ITK, IL2RG, TRA@ /// TRAC, CD3E, TRA@ /// TRAC /// TRAJ17 /// TRAV20, PTPRC, PRKACB, CD3D, LCK, CD3G, IL7R, KLRB1, CCL5, RASGRP1, SH2D1A, TRAV20, BCL11B, CD6, CD7, TRBC1, LEF1, NKG7, UBASH3A, PTPRCAP, TRAC, TRD@, SLA2, RORA, MAL, EOMES, XCL2, XCL1, ETS1, SAMD3, SIT1, NLRC3, SIRPG, PRKCH, ICOS, CD28, TRAJ17, NELL2, GNLY, CD27, LAT, FLT3LG, PRF1, PRKCQ, GIMAP7, GATA3, GZMA, GZMB, CD96, GZMM, GZMH, TIGIT, GZMK, ITM2A, GPR171, IL32, TARP, THEMIS, TCF7, CD5, MS4A1, PTPN22, TXK, IKZF1, CAMK4, DPP4, RHOH, CD8A, ITPR3, CD8B, CRTAM, KLRK1, IL21R, CORO1A, SLAMF7, SLAMF1, SP140, CCR5, STAT4, CXCR3, IFNG, IL18R1, PTPN7, KLF12, ATP8B2, ZMYND11, GLYR1 /// SEPT6, CHST15, LIME1, CD24, GRAP2, THEM4, LAT /// SPNS1, NOG, LRRN3, SPOCK2, FASLG, ABLIM1, BCL2, PKIA, HNRPLL, TGFB1, AES, FAM108A1, UBE2M, DEF6, H1FX, CCDC22, ACAP1, TECR, HGS, SIPA1, CLPTM1, TSC2, SH2B1, APEH, CBX4, STXBP2, BRD2, ATP5D, DGKZ, NRBP1, MAZ, GNB2, NR1H2, CNOT3, IL2RA, JUNB, FOS, FOSB, EGR1, JUN, TNF, TNFRSF4, ATF3, TNFRSF9, IL2RB, FOSL1, TNFRSF18, CXADR, LILRB4, CD40LG, LILRB2, LILRB1, TYROBP, ITGA4, VCAM1, LILRB3, IL23A, FYN, IFI30, CD37, MAPK14, ARHGDIB, LCP1, SELL, SPI1, GFI1, LPXN, LAG3, PTPN6, UNC93B1, LTB, JAK3, MGC16121, TCF4, SLC40A1, APBB1, CHI3L2, ASRGL1, PCSK5, SLC38A1, HOPX, DENND2D, TC2N, PLEKHF1, CLEC2D, FGFBP2, LBH, TRGC2, LOC439949, NPDC1, ANKH, CD320, SLC37A3, C6orf129, NDFIP2, CXCR6, TMEM106C, C12orf23, GIMAP2, F2R, TMEM200A, GPR19, TSPAN5, SV2A, GPR114, GPR15, CLDND1, SLC4A7, IL17RB, CTLA4, KIT, TLR4, CR2, BTK, SYK, VAV1, PLCG2, CAV1, ABL1, STAT5B, IL2, FAS, RPS6, AKT1, TAP2, MYO1G, BTN3A2, HLA-E, RAG1, CD1C, HLA-DRB3, CSK, CX3CR1, BCL10, VTCN1, KLRC1, TEC, ZNF683, CD160, CTSH, GPR183, BTNL8, IFNA8, CD46, HMGB1, CD86, CD81, SKAP1, PIK3CG, IFNE, RPL22, BRAF, GLI3, ADA, RHOA, CLEC4G, PHB1, CHRNA7, HSPD1, PIK3R1, RAG2, PTPRJ, PTPN2, BCL6, SP3, IL10, FOSL2, ADAM17, SPNS2, BAX, RC3H1, NCKAP1L, CASP3, PRKDC, CD70, IL7, CTPS1, BCAR1, MAPK1, ASXL1, LIPA, CDH26, CD83, TOX, FUT7, WDFY4, PSMB11, IRF1, TNFSF8, RAB27A, LIG4, MYH9, IL15, FCER1G, SRC, JAML, BCL3, CRKL, CRK, CCL2, WNT4, IL4R, DOCK8, MSN, EPHB1, STAT6, CCL3, GPR15LG, CX3CL1, CCL20, RELB, HPRT1, LFNG, TNFSF4, ITGAL, SPN, LGALS1, SRF, ITPKB, PBX1, CACNB4, KMT2A, WAS, RBX1, NCK1, SMAD3, PPP3CA, PPP3CB, FKBP1A, MFAP3, TNFAIP8L2, CD276, CD44, CD80, DCAF12, DDOST, MDK, F2RL1, PSEN1, APBB1IP, CXCL12, DEFA4, SLC12A2, DEFA1, PTPN11, MAP3K8, PIK3CA, EFNB1, EFNB2, MTOR, KDELR1, DTX1, CTNNB1, SOX4, LMBR1L, LEPR, GPR89A, LEP, PKNOX1, NRARP, GPR89B, NKAP, ZFP36L2, NCAPH2, ZFP36L1, CDK6, B2M, JMJD6, TESPA1, XG, CD99, PPP2CA, CHST3, ZC3H8, PPP2R1A, IL20RB, CCNB2, PRDX2, EMP2, CTSC, JAG1, GNL1, CR1, S1PR1, ITGB7, PSMB10, IL12B, FKBP1B, KITLG, IDO1, CD151, SCGB1A1, CCND3, SLC11A1, THEMIS2, KHDRBS1, CACNB3, PDE4B, PDE4D, UBE2N, NFKBID, DENND1B, FYB2, BTNL10P, PLCG1, EIF2B2, BTNL9, BTNL3, BTN2A1, CD1D, CEBPB, IL18BP, CCR2, RORC, IL6R, STAT3, IL6ST, JAK1, NOTCH1, MYB, MEN1, PTGER4, ATP7A, ZFPM1, MAP2K1, HAND2, MAP2K2, FOXI3, SOD1, TGFBR1, MAPK3, EPHB3, LMO4, TYR, FCER1A, IL33",14.52,29.68,6.875720844796439e-6,5.162681764042222
ADAPTIVE IMMUNE SYSTEM,COMPLEMENT,0.007,7,942,35,3078,153,"CR2, CD46, C1QBP, C4B, MBL2, CR1, IL33",0.23,4.58,9.039620449987057e-58,57.04384980403091
ADAPTIVE IMMUNE SYSTEM,DENDRITIC CELL,0.052,59,890,192,3078,810,"CCR7, CCL5, STAT4, IFNG, TNF, ATF3, TYROBP, VCAM1, IL23A, SPI1, LAG3, LTB, F2R, CCL4, CTGF, CD1B, CD9, RGL1, IGKC, ALOX5, HLA-DQA1, HLA-DMA, CXCR4, CD1C, HLA-DRB3, GPR183, CD1E, HMGB1, CLEC10A, CD86, PIK3CG, CD40, CH25H, RBPJ, PRKCD, CD38, NFKBIA, CD83, FUT7, IRF8, NFKB2, BCL3, CSF2RB, DOCK8, CCL8, CCL20, RELB, NOTCH2, CD80, PSEN1, MAP3K8, JAG1, KITLG, CD151, PDE4B, NFKBID, DENND1B, CCR2, FCER1A",1.92,7.28,1.4944763852322096e-165,164.82551094301638
ADAPTIVE IMMUNE SYSTEM,EOSINOPHIL,0.018,17,932,5,3078,66,"CCL5, XCL1, CCL4, BTK, CCL2, MPL, CCL3, CCL18, CCL7, CX3CL1, CCL4L1, CCL1, CCL3L1, CCL8, CCL24, CCL23, FCER1A",0.55,25.76,4.041250127515209e-9,8.393484268676916
