Cond1,Cond2,jaccard_distance,Shared,NotShared_cond1,NotShared_cond2,Total_Genes_Cond1,Total_Genes_Cond2,Genes_Names,Percentage_Shared_Cond1,Percentage_Shared_Cond2,pvalue,-log(p)
"BBIBP (V3, D14)","BBIBP (V3, D28)",0.111,6,38,10,44,16,"C4orf19, RPL7AP60, GOLGA6L24, MTATP8P1, TSNAX-DISC1, HMGB1P51",13.64,37.5,3.3463273505943693e-7,6.475431576941193
"BBIBP (V3, D14)","BNT (V1, D6)",0,0,44,3,44,9,,0,0,6.167129201356768e-5,4.2099169530089915
"BBIBP (V3, D14)","BNT (V2, D1)",0.003,2,42,537,44,694,"RFTN2, IDO2",4.55,0.29,4.871472763469384e-62,61.31233972125909
"BBIBP (V3, D14)","BNT (V3, D1)",0.009,5,39,512,44,708,"FFAR2, IDO2, GK3, TSNAX-DISC1, CCL3",11.36,0.71,7.58826242086617e-55,54.11985765854729
"BBIBP (V3, D14)",BNT-I (D1),0.004,4,40,1097,44,1101,"SEMA3B, C4orf19, GJB7, C9orf131",9.09,0.36,1.1306736680337824e-69,68.94666272188466
"BBIBP (V3, D14)","BNT-I (D10, mild)",0.001,4,40,4444,44,4448,"PYGM, NDUFAF1, ALOX15, ASTL",9.09,0.09,1.0913789651744148e-93,92.96202442089987
"BBIBP (V3, D14)","BNT-I (D10, severe)",0.002,10,34,4625,44,4635,"SEMA3B, PYGM, PDE4C, PPP1R1A, NDUFAF1, FITM1, ALOX15, BNIPL, ASTL, TSNAX-DISC1",22.73,0.22,1.4572436198939789e-77,76.83646783743305
"BBIBP (V3, D14)","BNT-I (D26, mild)",0,0,44,2593,44,2593,,0,0,1.1282794940051033e-96,95.94758330490177
"BBIBP (V3, D14)","BNT-I (D26, severe)",0,0,44,593,44,593,,0,0,5.042352054315303e-69,68.29736683539325
"BBIBP (V3, D14)",BNT-I (D3),0.009,6,38,658,44,664,"SEMA3B, PPP1R1A, C4orf19, GJB7, C9orf131, NLRP9",13.64,0.9,7.068505210864516e-57,56.15067241750576
"BBIBP (V3, D14)",BNT-I (D4),0,0,44,150,44,150,,0,0,1.142639648112852e-44,43.94209071055913
"BBIBP (V3, D14)","BNT-I-BNT (D51, mild)",0,0,44,363,44,363,,0,0,4.465846288227512e-60,59.35009622916504
"BBIBP (V3, D14)","BNT-I-BNT (D51, severe)",0,0,44,113,44,113,,0,0,5.056550982962603e-40,39.29614560960248
"BBIBP (V3, D14)","BNT-MO (V3, D1)",0.006,6,38,937,44,1254,"SEMA3B, FFAR2, IDO2, GK3, TSNAX-DISC1, CCL3",13.64,0.48,1.581648610404513e-62,61.80088999587824
"BBIBP (V3, D14)","ChAd (V1, D3)",0.003,2,42,656,44,903,"ALOX15, IDO2",4.55,0.22,1.494564996122796e-65,64.82548519347603
"BBIBP (V3, D14)","ChAd (V1, D6)",0.005,1,43,164,44,302,RPL5P35,2.27,0.33,5.97991266347559e-44,43.223305158828914
"BBIBP (V3, D14)","ChAd (V1, D7)",0.003,1,43,267,44,337,CCL3,2.27,0.3,3.619193101169183e-52,51.441388244596986
"BBIBP (V3, D14)","ChAd (V2, D1)",0.004,3,41,730,44,916,"FFAR2, IDO2, TSNAX-DISC1",6.82,0.33,4.746962717310238e-65,64.32358417922119
"BBIBP (V3, D14)","ChAd (V2, D3)",0,0,44,201,44,215,,0,0,1.2227023482721714e-49,48.91267925370456
"BBIBP (V3, D14)","ChAd (V2, D7)",0,0,44,9,44,18,,0,0,2.2565144472040061e-10,9.646561881589484
"BBIBP (V3, D14)","ChAd-BNT (V2, D3)",0.002,2,42,906,44,1156,"IDO2, MSANTD1",4.55,0.17,2.875053351138087e-71,70.54135409188221
"BBIBP (V3, D14)","ChAd-BNT (V2, D7)",0.002,2,42,774,44,972,"FFAR2, CCL3",4.55,0.21,1.7905542685162597e-68,67.74701251175904
"BBIBP (V3, D14)","ChAd-BNT (V3, D1)",0.006,6,38,1026,44,1388,"SEMA3B, COL20A1, IDO2, MSANTD1, RPL21P123, CCL3",13.64,0.43,5.487971531274279e-64,63.26058815018807
"BBIBP (V3, D14)","I (D10, moderate)",0.002,6,38,3133,44,3139,"SEMA3B, PDE4C, PPP1R1A, NDUFAF1, ALOX15, ASTL",13.64,0.19,3.864495697870835e-82,81.41290717184181
"BBIBP (V3, D14)","I (D10, severe)",0.002,7,37,4089,44,4096,"SEMA3B, PDE4C, C4orf19, ALOX15, GJB7, C9orf131, NLRP9",15.91,0.17,9.784504525828866e-84,83.0094611615386
"BBIBP (V3, D14)","I (D26, moderate)",0,1,43,2020,44,2021,ASTL,2.27,0.05,1.2117251095106932e-88,87.9165958925156
"BBIBP (V3, D14)","I (D26, severe)",0.001,5,39,3974,44,3979,"PDE4C, GJB7, C9orf131, TAC4, NLRP9",11.36,0.13,7.402534128134758e-89,88.1306195816926
"BBIBP (V3, D14)","I (D51, moderate)",0,0,44,51,44,51,,0,0,3.9915812948493747e-28,27.39885502121068
"BBIBP (V3, D14)","I (D51, severe)",0.003,7,37,2293,44,2300,"SEMA3B, PDE4C, FITM1, WNT4, GJB7, C9orf131, ADRA2B",15.91,0.3,1.607723767334365e-74,73.79378856791834
"BBIBP (V3, D14)",I-BNT-I (D2),0,0,44,5,44,10,,0,0,5.244157484146898e-7,6.280324274749113
"BBIBP (V3, D14)",I-BNT-I (D5),0,0,44,1,44,2,,0,0,0.022222222222222216,1.6532125137753437
"BBIBP (V3, D14)",I-I (D1),0,0,44,39,44,39,,0,0,1.3742942772230228e-24,23.861920261970845
"BBIBP (V3, D14)",I-I (D2),0,0,44,1,44,1,,0,0,0.022222222222222216,1.6532125137753437
"BBIBP (V3, D14)",I-I (D3),0,0,44,3,44,3,,0,0,6.167129201356768e-5,4.2099169530089915
"BBIBP (V3, D14)",I-I (D5),0,0,44,14,44,14,,0,0,9.85907367535522e-14,13.006163887957403
"BBIBP (V3, D14)","ZF2001 (V3, D07)",0.006,15,29,2419,44,2434,"SEMA3B, COL20A1, CCN4, PDE4C, FFAR2, PPP1R1A, ITGB1BP2, FGD5, ALOX15, GJB7, SNORC, IDO2, MSANTD1, RPL21P123, CCL3",34.09,0.62,1.0653651003859574e-56,55.97250153409338
"BBIBP (V3, D14)","ZF2001 (V3, D14)",0.044,13,31,249,44,262,"SEMA3B, CCN4, PDE4C, WNT4, GJB7, SUMO4, SNORC, IDO2, MORF4L1P1, SRRM5, RPL21P123, NPM1P20, HMGB1P51",29.55,4.96,7.445690546038154e-32,31.128095017666485
"BBIBP (V3, D14)","ZF2001 (V3, D28)",0.012,1,43,37,44,38,CCL3,2.27,2.63,2.3983197053281853e-22,21.620092924237554
"BBIBP (V3, D28)","BBIBP (V3, D14)",0.111,6,38,10,44,16,"C4orf19, RPL7AP60, GOLGA6L24, MTATP8P1, TSNAX-DISC1, HMGB1P51",13.64,37.5,3.3463273505943693e-7,6.475431576941193
"BBIBP (V3, D28)","BNT (V1, D6)",0,0,16,3,16,9,,0,0,0.001031991744066046,2.986323777050766
"BBIBP (V3, D28)","BNT (V2, D1)",0,0,16,539,16,694,,0,0,3.211588791449186e-31,30.493280066455934
"BBIBP (V3, D28)","BNT (V3, D1)",0.002,1,15,516,16,708,TSNAX-DISC1,6.25,0.14,3.2995191255569956e-28,27.4815493499205
"BBIBP (V3, D28)",BNT-I (D1),0.002,2,14,1099,16,1101,"C4orf19, HSP90AB4P",12.5,0.18,2.4736032214056324e-30,29.606669962174053
"BBIBP (V3, D28)","BNT-I (D10, mild)",0,2,14,4446,16,4448,"KCNA3, HSP90AB4P",12.5,0.04,8.610766540795313e-39,38.06495818540821
"BBIBP (V3, D28)","BNT-I (D10, severe)",0.001,4,12,4631,16,4635,"CXCL8, KCNA3, TSNAX-DISC1, HSP90AB4P",25,0.09,8.719860475885948e-33,32.059490464039634
"BBIBP (V3, D28)","BNT-I (D26, mild)",0,1,15,2592,16,2593,HSP90AB4P,6.25,0.04,1.2402901600868994e-38,37.90647670178683
"BBIBP (V3, D28)","BNT-I (D26, severe)",0.002,1,15,592,16,593,HSP90AB4P,6.25,0.17,4.341810376719859e-29,28.36232914774998
"BBIBP (V3, D28)",BNT-I (D3),0.004,3,13,661,16,664,"KDELR3, C4orf19, HSP90AB4P",18.75,0.45,6.23969498552856e-25,24.204836639378385
"BBIBP (V3, D28)",BNT-I (D4),0,0,16,150,16,150,,0,0,1.3276768682946718e-22,21.876907611257565
"BBIBP (V3, D28)","BNT-I-BNT (D51, mild)",0,0,16,363,16,363,,0,0,1.591525241711292e-28,27.798186469044865
"BBIBP (V3, D28)","BNT-I-BNT (D51, severe)",0,0,16,113,16,113,,0,0,9.384407971532561e-21,20.027593120251648
"BBIBP (V3, D28)","BNT-MO (V3, D1)",0.001,1,15,942,16,1254,TSNAX-DISC1,6.25,0.08,4.4460983893622164e-32,31.352020930866832
"BBIBP (V3, D28)","ChAd (V1, D3)",0.001,1,15,657,16,903,CXCL8,6.25,0.11,9.303433081851019e-30,29.031356761835628
"BBIBP (V3, D28)","ChAd (V1, D6)",0,0,16,165,16,302,,0,0,3.120916304180381e-23,22.505717877960752
"BBIBP (V3, D28)","ChAd (V1, D7)",0,0,16,268,16,337,,0,0,1.7966495193537548e-26,25.74553663444141
"BBIBP (V3, D28)","ChAd (V2, D1)",0.001,1,15,732,16,916,TSNAX-DISC1,6.25,0.11,1.8769694766624253e-30,29.726542789831964
"BBIBP (V3, D28)","ChAd (V2, D3)",0,0,16,201,16,215,,0,0,1.5253097220159031e-24,23.816641961625407
